航班号,起飞时刻,到达时刻,目的地,票价,折扣,每班载量,剩余载量
MU691,8:00,11:20,上海,539,0.62,128,78
CZ327,21:00,17:50,上海,911,0.8,110,51
DL7751,1:50,4:30,纽约,4866,0.82,135,70
AF4403,0:20,6:40,青岛,26257,0.86,145,60
CZ337,9:50,13:45,首尔,1324,0.78,115,92
CZ3549,22:00,0:20,上海,1678,0.4,150,99
CZ301,8:20,20:40,悉尼,1651,0.79,131,100
CZ343,9:00,21:30,墨尔本,1851,0.43,191,12
CZ627,8:30,11:25,东京,623,0.76,98,52
CZ385,10:10,14:55,东京,523,0.81,78,9
CZ611,8:50,11:10,大阪,752,0.42,50,11
CZ393,17:30,22:00,大阪,451,0.54,132,32
CZ389,8:30,13:00,大阪,512,0.91,115,100
CZ329,14:00,10:20,北京,1100,0.74,120,119
CZ3165,19:10,23:30,上海,779,0.92,115,86
CZ3991,17:15,4:00,北京,670,0.75,90,94
MU2870,16:25,1:45,大阪,470,0.68,115,98
CZ3939,15:40,16:40,北京,473,0.91,110,92
MU2491,13:55,15:50,长沙,436,0.73,120,89
HU7838,12:05,14:45,西安,532,0.89,110,41
CZ3892,9:55,11:55,郑州,562,0.86,90,45
CZ3339,9:05,13:00,青岛,631,0.83,110,53
ZH9663,8:50,18:10,墨尔本,579,0.85,95,62
CZ3131,7:55,10:55,北京,862,0.62,100,86
MU2607,7:45,14:05,北京,651,0.91,110,92
